Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Customer_Type,Division,District,Purchase_Frequency_Monthly,Customer_Lifetime_Value_BDT
CUST-BD-00372,Anika Khan,40,Female,Low-Engagement,New,Rajshahi,Bogura,2,6224.65
CUST-BD-03503,Hussain Molla,35,Male,Moderate-Spender,New,Dhaka,Dhaka,16,43541.72
CUST-BD-00884,Hasan Akter,47,Male,High-Value,Loyal,Sylhet,Sunamganj,5,239845.65
CUST-BD-00222,Muntasir Chowdhury,18,Male,Moderate-Spender,Regular,Rangpur,Lalmonirhat,20,41524.81
CUST-BD-04148,Siam Banik,33,Male,Moderate-Spender,Churned-Risk,Rangpur,Lalmonirhat,4,72555.53
CUST-BD-03824,Puja Sikder,37,Female,Low-Engagement,Regular,Dhaka,Narayanganj,7,11281.71
CUST-BD-04703,Popy Biswas,42,Female,Low-Engagement,Churned-Risk,Barisal,Pirojpur,8,12337.33
CUST-BD-03684,Karim Bhuiyan,49,Male,High-Value,Churned-Risk,Dhaka,Dhaka,4,354328.51
CUST-BD-04348,Puja Hossain,18,Female,Moderate-Spender,Regular,Barisal,Barisal,24,44150.14
CUST-BD-04132,Rahela Begum,35,Female,VIP-Platinum,Regular,Rajshahi,Pabna,21,630155.89
CUST-BD-02740,Nusrat Molla,45,Female,Low-Engagement,New,Rajshahi,Pabna,6,10324.3
CUST-BD-01369,Tasnim Sarkar,29,Female,Low-Engagement,Regular,Rangpur,Lalmonirhat,4,7785.43
CUST-BD-04325,Nadia Sikder,25,Female,Moderate-Spender,Loyal,Mymensingh,Jamalpur,9,42761.38
CUST-BD-02815,Hasan Akter,56,Male,High-Value,Loyal,Khulna,Bagerhat,23,95643.17
CUST-BD-01866,Hasan Biswas,18,Male,Low-Engagement,Regular,Khulna,Chuadanga,2,13500.09
CUST-BD-03452,Anika Hossain,19,Female,Moderate-Spender,Regular,Barisal,Barisal,4,53467.26
CUST-BD-00034,Laboni Rahman,22,Female,Moderate-Spender,Loyal,Khulna,Bagerhat,1,32132.4
CUST-BD-04857,Nusrat Biswas,45,Female,Moderate-Spender,Regular,Dhaka,Narsingdi,14,45075.96
CUST-BD-02785,Sabbir Roy,29,Male,Moderate-Spender,Loyal,Barisal,Pirojpur,19,13777.8
CUST-BD-04360,Sumaiya Majumder,43,Female,Moderate-Spender,Loyal,Chittagong,Comilla,24,66142.88
CUST-BD-02512,Imran Nath,41,Male,Moderate-Spender,Regular,Mymensingh,Sherpur,1,71831.14
CUST-BD-04501,Anwar Hawlader,23,Male,Moderate-Spender,Regular,Rajshahi,Rajshahi,5,47614.94
CUST-BD-01893,Rahim Dey,29,Male,Moderate-Spender,Regular,Barisal,Barisal,14,12563.11
CUST-BD-00441,Hussain Das,39,Male,Moderate-Spender,Loyal,Khulna,Chuadanga,4,52394.4
CUST-BD-00611,Shafiq Nath,42,Male,High-Value,Regular,Barisal,Bhola,21,135720.38
CUST-BD-01475,Anika Paul,25,Female,Moderate-Spender,Loyal,Mymensingh,Jamalpur,21,65772.75
CUST-BD-02255,Bristy Mia,19,Female,Moderate-Spender,Regular,Dhaka,Gazipur,15,60067.31
CUST-BD-03872,Meghla Begum,36,Female,Moderate-Spender,Reactivated,Khulna,Satkhira,23,73991.66
CUST-BD-03734,Naim Das,36,Male,Low-Engagement,Reactivated,Barisal,Bhola,17,7417.27
CUST-BD-04064,Tanvir Mondal,38,Male,VIP-Platinum,Regular,Barisal,Patuakhali,14,365332.64
CUST-BD-04635,Jahangir Akter,26,Male,Moderate-Spender,Loyal,Sylhet,Moulvibazar,17,10405.06
CUST-BD-02883,Mahabub Ahmed,27,Male,Moderate-Spender,Regular,Sylhet,Moulvibazar,13,15384.58
CUST-BD-00584,Munni Sarkar,62,Female,Low-Engagement,Regular,Dhaka,Manikganj,18,14425.89
CUST-BD-04613,Nusrat Das,52,Female,Low-Engagement,New,Mymensingh,Sherpur,17,7845.5
CUST-BD-04063,Rakib Biswas,23,Male,Moderate-Spender,Regular,Chittagong,Comilla,20,75258.48
CUST-BD-02851,Shamima Khan,28,Female,Moderate-Spender,Regular,Dhaka,Manikganj,15,74949.57
CUST-BD-02214,Hasan Roy,29,Male,Low-Engagement,Loyal,Rajshahi,Rajshahi,17,19069.8
CUST-BD-02715,Mahabub Talukder,39,Male,High-Value,New,Khulna,Jessore,7,184215.47
CUST-BD-03058,Shamima Mia,37,Female,Moderate-Spender,Regular,Sylhet,Habiganj,19,27283.96
CUST-BD-03101,Rifat Biswas,26,Male,Moderate-Spender,Regular,Barisal,Barisal,21,16144.71
CUST-BD-01245,Tania Hawlader,27,Female,Low-Engagement,Reactivated,Barisal,Pirojpur,10,5290.78
CUST-BD-02428,Jahangir Islam,34,Male,Low-Engagement,Regular,Sylhet,Sunamganj,1,17685.55
CUST-BD-04948,Rahim Majumder,18,Male,Low-Engagement,Loyal,Mymensingh,Netrokona,19,1926.85
CUST-BD-02853,Laboni Das,21,Female,Low-Engagement,Regular,Dhaka,Munshiganj,11,16438.48
CUST-BD-00948,Nasreen Banik,26,Female,Moderate-Spender,Loyal,Rajshahi,Rajshahi,13,23726.08
CUST-BD-04990,Rakib Roy,63,Male,High-Value,New,Chittagong,Feni,23,132130.34
CUST-BD-00514,Karim Dey,24,Male,High-Value,Regular,Sylhet,Moulvibazar,5,333293.19
CUST-BD-01825,Sumaiya Roy,37,Female,Moderate-Spender,Loyal,Chittagong,Noakhali,20,29911.14
CUST-BD-04282,Belal Chowdhury,18,Male,Low-Engagement,Churned-Risk,Chittagong,Noakhali,12,12102.52
CUST-BD-02805,Puja Islam,33,Female,Low-Engagement,New,Mymensingh,Mymensingh,8,4939.37
CUST-BD-04260,Shamima Sikder,24,Female,Low-Engagement,Regular,Barisal,Barisal,22,13332.61
CUST-BD-04691,Lamiya Islam,34,Female,Moderate-Spender,Reactivated,Khulna,Bagerhat,10,18827.75
CUST-BD-01924,Rakib Banik,37,Male,Low-Engagement,Churned-Risk,Dhaka,Gazipur,6,12885.99
CUST-BD-00841,Naim Bhuiyan,34,Male,Moderate-Spender,New,Mymensingh,Sherpur,11,61585.94
CUST-BD-01206,Nusrat Rahman,35,Female,Moderate-Spender,Loyal,Chittagong,Chittagong,21,66415.78
CUST-BD-02669,Noman Hawlader,41,Male,Moderate-Spender,Loyal,Rangpur,Lalmonirhat,2,35340.86
CUST-BD-00191,Sabbir Biswas,29,Male,High-Value,Regular,Dhaka,Gazipur,18,470016.94
CUST-BD-00165,Riya Banik,46,Female,Moderate-Spender,Regular,Dhaka,Manikganj,7,73633.5
CUST-BD-00736,Mahabub Islam,40,Male,High-Value,Loyal,Mymensingh,Sherpur,2,129345.72
CUST-BD-03198,Arif Molla,18,Male,Moderate-Spender,Churned-Risk,Dhaka,Manikganj,2,47128.09
CUST-BD-02299,Sadia Nath,42,Female,Moderate-Spender,Churned-Risk,Mymensingh,Mymensingh,16,45801.55
CUST-BD-00609,Tasnim Biswas,18,Female,Low-Engagement,New,Sylhet,Sunamganj,21,11626.63
CUST-BD-03454,Hasan Ghosh,28,Male,High-Value,New,Chittagong,Noakhali,5,108813.12
CUST-BD-04215,Mou Hossain,35,Female,Low-Engagement,Regular,Chittagong,Noakhali,16,11554.89
CUST-BD-02345,Nadia Akter,18,Female,Moderate-Spender,New,Barisal,Barisal,7,71951.26
CUST-BD-00450,Zubayer Saha,22,Male,High-Value,Loyal,Sylhet,Sylhet,19,237212.47
CUST-BD-03871,Tasnim Bhuiyan,18,Female,Moderate-Spender,Regular,Dhaka,Gazipur,8,34504.86
CUST-BD-00139,Lamiya Sheikh,44,Female,Moderate-Spender,Reactivated,Dhaka,Manikganj,4,69310.9
CUST-BD-03247,Shahid Saha,40,Male,VIP-Platinum,Loyal,Rajshahi,Natore,14,782707.02
CUST-BD-00263,Karim Talukder,18,Male,Moderate-Spender,Regular,Sylhet,Sunamganj,21,48909.55
CUST-BD-02313,Rahim Dey,37,Male,Moderate-Spender,Churned-Risk,Barisal,Bhola,22,39978.56
CUST-BD-02559,Mou Molla,38,Female,High-Value,Regular,Sylhet,Sylhet,9,486453.45
CUST-BD-02535,Tania Sarkar,29,Female,Moderate-Spender,Regular,Rangpur,Lalmonirhat,19,52504.67
CUST-BD-00096,Fatema Rahman,18,Female,High-Value,New,Rangpur,Gaibandha,8,321671.14
CUST-BD-02380,Riya Mondal,38,Female,High-Value,Regular,Rangpur,Dinajpur,11,68918.68
CUST-BD-00265,Munni Das,31,Female,Moderate-Spender,Regular,Sylhet,Sunamganj,14,74031.88
CUST-BD-03534,Imran Sheikh,20,Male,Low-Engagement,Loyal,Sylhet,Habiganj,22,17092.98
CUST-BD-02420,Sazzad Ghosh,19,Male,High-Value,New,Mymensingh,Mymensingh,20,228518.43
CUST-BD-00152,Sohel Hawlader,39,Male,Moderate-Spender,Loyal,Mymensingh,Sherpur,17,38992.86
CUST-BD-04273,Nasreen Talukder,18,Female,Moderate-Spender,Regular,Rangpur,Lalmonirhat,4,23097.48
CUST-BD-03688,Kaniz Roy,38,Female,Moderate-Spender,Churned-Risk,Rangpur,Gaibandha,24,51650.21
CUST-BD-01673,Rahela Molla,30,Female,Moderate-Spender,Regular,Rajshahi,Bogura,12,51106.04
CUST-BD-02334,Jannatul Chowdhury,30,Female,Moderate-Spender,Regular,Rajshahi,Natore,9,26972.06
CUST-BD-01272,Hussain Talukder,42,Male,Moderate-Spender,New,Barisal,Barisal,10,13493.14
CUST-BD-04437,Sabbir Saha,49,Male,Moderate-Spender,Regular,Mymensingh,Jamalpur,6,35253.26
CUST-BD-04435,Sabbir Akter,28,Male,Moderate-Spender,Regular,Barisal,Patuakhali,15,31373.36
CUST-BD-04741,Liton Ghosh,41,Male,Moderate-Spender,Regular,Khulna,Jessore,6,61917.55
CUST-BD-02601,Anika Banik,18,Female,VIP-Platinum,Regular,Rangpur,Gaibandha,13,444992.14
CUST-BD-00646,Karim Ahmed,31,Male,High-Value,New,Khulna,Satkhira,14,464173.11
CUST-BD-04484,Belal Das,41,Male,Low-Engagement,Loyal,Sylhet,Habiganj,11,11689.55
CUST-BD-00617,Tania Sheikh,36,Female,High-Value,Loyal,Dhaka,Dhaka,22,224890.32
CUST-BD-01876,Sohel Roy,51,Male,Low-Engagement,Loyal,Dhaka,Manikganj,5,3032.12
CUST-BD-00155,Mou Majumder,38,Female,High-Value,Regular,Rajshahi,Natore,12,301425.61
CUST-BD-02168,Sabrina Paul,19,Female,High-Value,Churned-Risk,Sylhet,Moulvibazar,2,492532.45
CUST-BD-03555,Shahid Mondal,18,Male,Moderate-Spender,Loyal,Khulna,Chuadanga,12,61128.79
CUST-BD-04651,Munni Ahmed,32,Female,Low-Engagement,Loyal,Khulna,Khulna,18,3811.62
CUST-BD-01701,Tanvir Biswas,39,Male,High-Value,Loyal,Sylhet,Moulvibazar,21,275262.74
CUST-BD-04898,Tanvir Majumder,21,Male,High-Value,New,Sylhet,Sylhet,24,461034.87
CUST-BD-04648,Tania Talukder,34,Female,VIP-Platinum,Loyal,Dhaka,Dhaka,13,560736.74
CUST-BD-01991,Jannatul Dey,44,Female,Moderate-Spender,Regular,Mymensingh,Mymensingh,18,44497.83
CUST-BD-04025,Shafiq Sarkar,26,Male,Low-Engagement,New,Rajshahi,Rajshahi,17,18281.33
CUST-BD-01523,Shahid Sikder,32,Male,Low-Engagement,New,Barisal,Pirojpur,14,11026.57
CUST-BD-03340,Rafi Ahmed,56,Male,Moderate-Spender,Churned-Risk,Rangpur,Kurigram,12,79073.52
CUST-BD-04155,Rahela Sikder,46,Female,Moderate-Spender,New,Barisal,Bhola,22,43059.91
CUST-BD-03092,Shahid Mia,44,Male,Moderate-Spender,New,Rajshahi,Rajshahi,21,74642.37
CUST-BD-03368,Farhan Talukder,37,Male,High-Value,New,Rangpur,Rangpur,20,58682.74
CUST-BD-00833,Riya Sikder,22,Female,Moderate-Spender,New,Chittagong,Comilla,13,33050.01
CUST-BD-03306,Toma Sheikh,47,Female,High-Value,Regular,Sylhet,Sylhet,15,70981.91
CUST-BD-00055,Belal Mia,47,Male,Moderate-Spender,Loyal,Barisal,Barisal,22,67289.64
CUST-BD-00749,Shayla Molla,27,Female,High-Value,Regular,Dhaka,Manikganj,13,258692.29
CUST-BD-01929,Laboni Talukder,48,Female,Low-Engagement,Loyal,Khulna,Bagerhat,10,3976.77
CUST-BD-01581,Imran Nath,37,Male,Moderate-Spender,Churned-Risk,Khulna,Chuadanga,23,47677.81
CUST-BD-02386,Sadia Sarkar,25,Female,Moderate-Spender,Churned-Risk,Rangpur,Lalmonirhat,1,44965.25
CUST-BD-00471,Mithila Sarkar,31,Female,High-Value,Loyal,Rajshahi,Pabna,22,387583.26
CUST-BD-01653,Jahangir Saha,37,Male,VIP-Platinum,Regular,Chittagong,Comilla,1,1285062.6
CUST-BD-02276,Mithila Mondal,21,Female,VIP-Platinum,New,Rajshahi,Pabna,10,427651.69
CUST-BD-04255,Shayla Ahmed,37,Female,Low-Engagement,Churned-Risk,Rangpur,Rangpur,1,12073.38
CUST-BD-01129,Rakib Begum,34,Male,Moderate-Spender,Loyal,Barisal,Bhola,19,26677.66
CUST-BD-03677,Riya Paul,35,Female,Moderate-Spender,Regular,Barisal,Barisal,7,20104.17
CUST-BD-04717,Nusrat Hawlader,63,Female,Low-Engagement,Loyal,Dhaka,Munshiganj,8,4503.18
CUST-BD-03304,Puja Dey,22,Female,Moderate-Spender,Churned-Risk,Chittagong,Chandpur,8,10271.76
CUST-BD-04225,Nusrat Molla,18,Female,Low-Engagement,New,Chittagong,Cox's Bazar,15,6605.86
CUST-BD-04431,Hasan Ahmed,18,Male,Moderate-Spender,Loyal,Chittagong,Noakhali,9,14370.86
CUST-BD-03493,Rahim Bhuiyan,40,Male,High-Value,Regular,Sylhet,Habiganj,14,234310.81
CUST-BD-00764,Rahela Mondal,33,Female,High-Value,New,Sylhet,Moulvibazar,19,157057.4
CUST-BD-03393,Tasnim Molla,34,Female,High-Value,Loyal,Dhaka,Manikganj,3,239480.48
CUST-BD-02095,Imran Nath,47,Male,Moderate-Spender,Regular,Mymensingh,Mymensingh,18,66956.57
CUST-BD-04932,Toma Sikder,18,Female,High-Value,New,Chittagong,Chandpur,11,398567.22
CUST-BD-04068,Rafi Khan,38,Male,Moderate-Spender,Loyal,Sylhet,Habiganj,6,36859.61
CUST-BD-04389,Bristy Molla,36,Female,Moderate-Spender,Churned-Risk,Rangpur,Lalmonirhat,6,67402.64
CUST-BD-03602,Sazzad Molla,26,Male,VIP-Platinum,Churned-Risk,Dhaka,Narsingdi,18,406682.21
CUST-BD-01727,Sabrina Ahmed,28,Female,High-Value,Regular,Chittagong,Noakhali,19,294798.53
CUST-BD-02711,Tasnim Biswas,25,Female,VIP-Platinum,Loyal,Rangpur,Rangpur,13,508682.91
CUST-BD-02877,Sohel Molla,23,Male,Low-Engagement,Regular,Rangpur,Lalmonirhat,2,15706.44
CUST-BD-04595,Karim Molla,34,Male,VIP-Platinum,Regular,Rangpur,Lalmonirhat,4,1232200.95
CUST-BD-01714,Tania Roy,45,Female,Low-Engagement,Regular,Dhaka,Dhaka,7,6738.95
CUST-BD-02356,Tanvir Mia,38,Male,Moderate-Spender,Regular,Mymensingh,Netrokona,24,62563.26
CUST-BD-00004,Tanvir Ahmed,53,Male,Low-Engagement,Regular,Sylhet,Moulvibazar,3,19187.05
CUST-BD-04004,Puja Sheikh,40,Female,Moderate-Spender,Regular,Barisal,Barisal,21,76208.6
CUST-BD-04660,Tanvir Chowdhury,25,Male,Moderate-Spender,Loyal,Mymensingh,Netrokona,24,41870.8
CUST-BD-02464,Naim Mondal,20,Male,Low-Engagement,Regular,Mymensingh,Mymensingh,19,6226.94
CUST-BD-04982,Puja Das,45,Female,Moderate-Spender,Loyal,Rajshahi,Sirajganj,10,14910.56
CUST-BD-04855,Kamrul Mondal,49,Male,Moderate-Spender,Reactivated,Rangpur,Kurigram,4,54237.64
CUST-BD-00353,Noman Sikder,45,Male,Moderate-Spender,Churned-Risk,Rangpur,Dinajpur,11,32526.14
CUST-BD-03557,Jahangir Dey,42,Male,Low-Engagement,Churned-Risk,Dhaka,Gazipur,19,12726.59
CUST-BD-02034,Sabrina Sikder,41,Female,Moderate-Spender,New,Dhaka,Narayanganj,23,35640.59
CUST-BD-01898,Arif Bhuiyan,54,Male,High-Value,New,Dhaka,Munshiganj,6,173866.07
CUST-BD-02735,Milon Mondal,58,Male,Moderate-Spender,New,Sylhet,Sylhet,8,46301.31
CUST-BD-02547,Belal Sikder,18,Male,Moderate-Spender,Regular,Barisal,Patuakhali,9,76900.42
CUST-BD-03161,Siam Islam,27,Male,High-Value,Loyal,Rajshahi,Natore,7,272465.26
CUST-BD-01823,Rahela Dey,32,Female,Low-Engagement,New,Sylhet,Habiganj,3,7272.69
CUST-BD-01030,Arif Dey,22,Male,VIP-Platinum,New,Sylhet,Moulvibazar,18,426009.8
CUST-BD-04277,Rahim Sheikh,27,Male,Moderate-Spender,Regular,Chittagong,Noakhali,19,41722.32
CUST-BD-04398,Rahim Rahman,23,Male,High-Value,Loyal,Sylhet,Moulvibazar,13,468670.95
CUST-BD-04827,Farhan Paul,36,Male,Low-Engagement,Loyal,Sylhet,Sunamganj,6,7758.16
CUST-BD-00855,Sabbir Nath,52,Male,Moderate-Spender,Regular,Barisal,Barisal,13,10375.27
CUST-BD-00943,Jannatul Molla,42,Female,High-Value,New,Sylhet,Sunamganj,16,300105.79
CUST-BD-02534,Laboni Mia,23,Female,Low-Engagement,Loyal,Chittagong,Comilla,9,4865.61
CUST-BD-04149,Tanvir Begum,28,Male,VIP-Platinum,Loyal,Rajshahi,Pabna,17,1006936.71
CUST-BD-00037,Nadia Sheikh,37,Female,Moderate-Spender,Reactivated,Dhaka,Munshiganj,4,67197.29
CUST-BD-00067,Mahabub Hossain,34,Male,Low-Engagement,Churned-Risk,Dhaka,Manikganj,3,12245.96
CUST-BD-01562,Imran Ahmed,26,Male,Moderate-Spender,Regular,Rajshahi,Pabna,24,19830.82
CUST-BD-00488,Anika Banik,22,Female,Moderate-Spender,Regular,Rajshahi,Pabna,13,38534.29
CUST-BD-03199,Rafi Talukder,30,Male,Low-Engagement,Loyal,Dhaka,Manikganj,7,2460.34
CUST-BD-02151,Popy Begum,32,Female,Low-Engagement,Regular,Mymensingh,Netrokona,3,15055.58
CUST-BD-04995,Naim Sikder,27,Male,Moderate-Spender,Loyal,Rangpur,Lalmonirhat,9,70178.94
CUST-BD-00992,Munni Hossain,18,Female,Low-Engagement,Loyal,Rajshahi,Sirajganj,12,9549.47
CUST-BD-01519,Sabrina Talukder,22,Female,Moderate-Spender,Loyal,Dhaka,Narsingdi,1,14220.05
CUST-BD-03061,Sabbir Mondal,38,Male,High-Value,Churned-Risk,Rajshahi,Rajshahi,7,118231.21
CUST-BD-03753,Mou Khan,50,Female,Moderate-Spender,New,Rajshahi,Rajshahi,16,65264.44
CUST-BD-00660,Tania Das,33,Female,High-Value,New,Khulna,Satkhira,3,369428.01
CUST-BD-02927,Jahangir Talukder,33,Male,Moderate-Spender,Regular,Khulna,Khulna,8,28662.07
CUST-BD-03160,Rahim Majumder,38,Male,Moderate-Spender,Regular,Khulna,Satkhira,6,32245.72
CUST-BD-04710,Nusrat Hossain,34,Female,Low-Engagement,Loyal,Dhaka,Munshiganj,4,13853.65
CUST-BD-01587,Puja Mia,37,Female,Low-Engagement,Loyal,Barisal,Bhola,11,9194.98
CUST-BD-04369,Milon Sarkar,26,Male,Moderate-Spender,Regular,Khulna,Bagerhat,9,55795.58
CUST-BD-00552,Muntasir Dey,33,Male,VIP-Platinum,Loyal,Barisal,Pirojpur,2,740061.53
CUST-BD-03469,Shahid Ahmed,29,Male,Low-Engagement,Loyal,Sylhet,Sunamganj,15,5592.81
CUST-BD-02144,Sabbir Biswas,37,Male,High-Value,Churned-Risk,Dhaka,Dhaka,16,263563.4
CUST-BD-04891,Mitu Ahmed,25,Female,Low-Engagement,Regular,Sylhet,Moulvibazar,21,18728.9
CUST-BD-03401,Mitu Mia,40,Female,Moderate-Spender,New,Khulna,Jessore,3,18250.6
CUST-BD-00723,Jahangir Banik,18,Male,High-Value,New,Dhaka,Manikganj,22,103184.2
CUST-BD-02981,Muntasir Hossain,38,Male,Moderate-Spender,Regular,Rajshahi,Rajshahi,3,18933.8
CUST-BD-01720,Lamiya Ghosh,29,Female,Low-Engagement,Reactivated,Dhaka,Narsingdi,23,16872.46
CUST-BD-02491,Kamrul Banik,34,Male,Moderate-Spender,Loyal,Chittagong,Comilla,14,23510.1
CUST-BD-01091,Siam Das,34,Male,Moderate-Spender,Regular,Barisal,Bhola,3,18994.45
CUST-BD-00745,Anwar Mia,41,Male,Moderate-Spender,Loyal,Khulna,Khulna,8,61101.24
CUST-BD-04872,Lamiya Sikder,51,Female,Moderate-Spender,New,Rajshahi,Bogura,5,67207.86
CUST-BD-04647,Sumaiya Saha,18,Female,Moderate-Spender,Regular,Rajshahi,Natore,4,17505.51
CUST-BD-04884,Karim Begum,40,Male,Low-Engagement,Regular,Dhaka,Gazipur,18,5623.19
CUST-BD-03850,Jannatul Khan,18,Female,Moderate-Spender,New,Khulna,Khulna,21,32624.62
CUST-BD-04117,Sabrina Hossain,32,Female,Low-Engagement,Loyal,Chittagong,Chittagong,24,11661.15
CUST-BD-00225,Mitu Akter,29,Female,High-Value,Churned-Risk,Sylhet,Habiganj,13,469115.93
CUST-BD-04166,Hasan Bhuiyan,44,Male,Moderate-Spender,New,Barisal,Patuakhali,6,10400.51
CUST-BD-01058,Sazzad Nath,49,Male,Moderate-Spender,Churned-Risk,Mymensingh,Mymensingh,7,61399.44
CUST-BD-03005,Shayla Bhuiyan,41,Female,Moderate-Spender,Regular,Dhaka,Manikganj,12,25490.36
CUST-BD-00906,Meghla Banik,35,Female,Moderate-Spender,Regular,Mymensingh,Netrokona,13,72137.24
CUST-BD-02476,Sadia Sheikh,43,Female,Moderate-Spender,Churned-Risk,Chittagong,Feni,20,30312.41
CUST-BD-01702,Jannatul Das,40,Female,High-Value,Loyal,Mymensingh,Mymensingh,18,351338.93
CUST-BD-02978,Belal Mondal,24,Male,Low-Engagement,Churned-Risk,Barisal,Barisal,7,16694.81
CUST-BD-00326,Sumaiya Banik,20,Female,Moderate-Spender,Regular,Khulna,Bagerhat,3,36262.06
