Transaction_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Customer_Type,Division,District,Transaction_Date,Year,Month,Month_Name,Quarter,Week_Number,Day_of_Week,Season,Business_Category,Business_Sub_Category,Business_Type,Employee_Count,Annual_Revenue_BDT,Product_Name,Quantity,Unit_Price_BDT,Gross_Amount_BDT,Discount_Percent,Discount_Amount_BDT,Net_Amount_BDT,Profit_Margin_Percent,Profit_Amount_BDT,Payment_Method,Order_Channel,Delivery_Days,Delivery_Status,Is_Returned,Return_Reason,Purchase_Frequency_Monthly,Days_Since_Last_Purchase,Customer_Lifetime_Value_BDT,Marketing_Channel,Campaign_Type,Stock_Level,Customer_Satisfaction_Score
TXN-BD-000021,CUST-BD-03675,Sabbir Das,34,Male,Moderate-Spender,New,Rajshahi,Sirajganj,2024-07-09,2024,7,July,Q3,28,Tuesday,Rainy Season,IT Services,Digital Marketing,Large Enterprise,539,1515689958.37,Web Development,2,446868.24,893736.48,5.14,45938.06,847798.42,57.75,489603.59,Dutch-Bangla MFS,Mobile App,13,On-Time,No,,2,81,15217.23,Social Media,Flash Sale,Low,4.0
TXN-BD-000022,CUST-BD-04187,Zubayer Nath,63,Male,Moderate-Spender,Regular,Khulna,Chuadanga,2023-05-20,2023,5,May,Q2,20,Saturday,Regular Season,Telecom,ISP,Large Enterprise,2376,8424721823.7,Mobile Recharge,1,3394.88,3394.88,8.06,273.63,3121.25,34.86,1088.07,Nagad,Online Website,11,On-Time,No,,20,138,29778.68,Referral,,Low,4.3
TXN-BD-000023,CUST-BD-04411,Belal Talukder,26,Male,High-Value,Loyal,Rajshahi,Bogura,2024-05-02,2024,5,May,Q2,18,Thursday,Regular Season,E-Commerce,Social Commerce,Startup,16,21598952.52,Kitchen Accessories,8,24037.77,192302.16,20.41,39248.87,153053.29,8.88,13591.13,Cash,Online Website,13,Delayed,No,,6,161,357458.49,SMS Marketing,Eid Festival Sale,Medium,3.6
TXN-BD-000024,CUST-BD-01153,Rifat Sarkar,27,Male,Low-Engagement,New,Rangpur,Kurigram,2022-01-10,2022,1,January,Q1,2,Monday,Winter Season,Transportation,Logistics,Startup,25,18947025.53,Freight Booking,3,793.73,2381.19,0.2,4.76,2376.43,11.55,274.48,Nexus Card,Online Website,1,On-Time,No,,8,128,3800.15,Referral,,High,4.7
TXN-BD-000025,CUST-BD-03242,Mahabub Akter,69,Male,Moderate-Spender,Loyal,Khulna,Chuadanga,2023-07-24,2023,7,July,Q3,30,Monday,Rainy Season,Retail,General Store,Social Enterprise,64,55090007.39,Stationery,1,4230.83,4230.83,6.65,281.35,3949.48,3.36,132.7,Nagad,Online Website,14,On-Time,No,,7,190,72077.29,Word of Mouth,,Medium,4.3
TXN-BD-000026,CUST-BD-00538,Tania Rahman,30,Female,VIP-Platinum,Regular,Mymensingh,Mymensingh,2023-03-22,2023,3,March,Q1,12,Wednesday,Pohela Boishakh Period,Telecom,Mobile Operator,Startup,28,35644714.72,SIM Card,1,3786.31,3786.31,30.79,1165.8,2620.51,31.88,835.42,Cash,Phone Order,7,On-Time,No,,13,54,1067546.29,Referral,Year-End Clearance,Out-of-Stock,3.5
TXN-BD-000027,CUST-BD-00363,Riya Ahmed,33,Female,Moderate-Spender,New,Rajshahi,Bogura,2024-12-16,2024,12,December,Q4,51,Monday,Year-End & Winter Sale,Agriculture,Fish Farm,Social Enterprise,37,26746416.56,Urea Fertilizer,1,41383.53,41383.53,13.51,5590.91,35792.62,8.07,2888.46,Rocket,Agent/Reseller,9,On-Time,No,,5,81,64595.59,Referral,,Out-of-Stock,4.4
TXN-BD-000028,CUST-BD-02742,Shafiq Islam,40,Male,High-Value,Regular,Rajshahi,Bogura,2021-11-23,2021,11,November,Q4,47,Tuesday,Year-End & Winter Sale,Agriculture,Agro Processing,Startup,2,1090987.69,Irrigation Pump,1,3951.32,3951.32,15.39,608.11,3343.21,13.12,438.63,bKash,In-Store,0,In-Store Pickup,No,,8,22,82973.56,,,High,3.2
TXN-BD-000029,CUST-BD-02481,Mou Ghosh,27,Female,Low-Engagement,New,Barisal,Barisal,2022-07-21,2022,7,July,Q3,29,Thursday,Rainy Season,Transportation,Logistics,Large Enterprise,4663,13469207628.15,Delivery Charge,1,8080.85,8080.85,1.66,134.14,7946.71,16.32,1296.9,Cash,In-Store,0,In-Store Pickup,No,,18,322,1711.99,TV Advertisement,Eid Festival Sale,Low,4.4
TXN-BD-000030,CUST-BD-02245,Shahid Ahmed,54,Male,Low-Engagement,Churned-Risk,Mymensingh,Sherpur,2023-04-13,2023,4,April,Q2,15,Thursday,Eid-ul-Fitr Season,Retail,General Store,Startup,17,15813391.49,Sugar (kg),2,4320.34,8640.68,19.62,1695.3,6945.38,8.93,620.22,bKash,Online Website,0,Delayed,No,,13,163,4182.11,Email,New Customer Offer,Low,2.8
TXN-BD-000031,CUST-BD-03169,Milon Ghosh,33,Male,Low-Engagement,Loyal,Rajshahi,Sirajganj,2023-08-26,2023,8,August,Q3,34,Saturday,Eid-ul-Adha Season,Healthcare,Clinic,SME,15,47612339.91,ECG,1,76312.54,76312.54,5.27,4021.67,72290.87,29.92,21629.43,bKash,Facebook/Social Media,12,Delayed,No,,19,82,16980.83,Word of Mouth,Loyalty Reward,Low,3.5
TXN-BD-000032,CUST-BD-04558,Rupa Dey,39,Female,Moderate-Spender,Loyal,Mymensingh,Jamalpur,2023-10-19,2023,10,October,Q4,42,Thursday,Regular Season,Education,Coaching Center,Large Enterprise,2558,3328246389.52,Monthly Tuition,1,18424.71,18424.71,2.98,549.06,17875.65,37.47,6698.01,Visa Card,In-Store,0,In-Store Pickup,No,,23,167,19915.29,Social Media,,Medium,3.6
TXN-BD-000033,CUST-BD-02135,Fatema Bhuiyan,30,Female,Moderate-Spender,Regular,Barisal,Pirojpur,2021-04-06,2021,4,April,Q2,14,Tuesday,Eid-ul-Fitr Season,Electronics,Home Appliances,SME,10,16299419.77,Charger,1,117683.46,117683.46,19.22,22618.76,95064.7,12.41,11797.53,Nagad,Online Website,0,On-Time,No,,10,343,28349.16,Social Media,New Customer Offer,Low,3.8
TXN-BD-000034,CUST-BD-00515,Rifat Hossain,28,Male,High-Value,Churned-Risk,Rangpur,Lalmonirhat,2023-11-15,2023,11,November,Q4,46,Wednesday,Year-End & Winter Sale,Real Estate,Land Broker,SME,31,76944872.05,Parking Space,1,225314.48,225314.48,19.09,43012.53,182301.95,27.62,50351.8,Cash,Phone Order,14,On-Time,No,,24,23,486159.66,TV Advertisement,Eid Festival Sale,High,4.5
TXN-BD-000035,CUST-BD-04883,Sadia Ahmed,24,Female,Moderate-Spender,Regular,Sylhet,Sylhet,2023-05-29,2023,5,May,Q2,22,Monday,Regular Season,IT Services,Digital Marketing,SME,19,42428420.9,Cloud Hosting,3,95356.57,286069.71,20.1,57500.01,228569.7,43.7,99884.96,Upay,Mobile App,5,On-Time,No,,23,254,23397.27,Referral,New Customer Offer,High,3.5
TXN-BD-000036,CUST-BD-00049,Sabrina Ahmed,39,Female,High-Value,Loyal,Barisal,Bhola,2023-06-05,2023,6,June,Q2,23,Monday,Rainy Season,Retail,Convenience Store,SME,27,60125994.97,Cooking Oil (L),1,3607.14,3607.14,11.73,423.12,3184.02,8.68,276.37,Cash,Online Website,5,On-Time,No,,13,24,246377.25,Email,,Medium,4.2
TXN-BD-000037,CUST-BD-04803,Sohel Saha,18,Male,Moderate-Spender,Loyal,Chittagong,Comilla,2023-06-07,2023,6,June,Q2,23,Wednesday,Rainy Season,Banking & Finance,Bank,Large Enterprise,1405,6750344934.87,Insurance Premium,8,247224.59,1977796.72,7.96,157432.62,1820364.1,20.27,368987.8,Nagad,Facebook/Social Media,1,On-Time,No,,10,114,10036.3,Social Media,Ramadan Special,Medium,4.2
TXN-BD-000038,CUST-BD-00838,Milon Roy,23,Male,Moderate-Spender,Regular,Barisal,Barisal,2022-02-06,2022,2,February,Q1,5,Sunday,Winter Season,Banking & Finance,Investment Firm,Social Enterprise,45,67071210.84,Savings Account,7,479559.39,3356915.73,12.01,403165.58,2953750.15,28.63,845658.67,Nagad,In-Store,0,In-Store Pickup,No,,13,274,47443.75,Word of Mouth,,Medium,4.0
TXN-BD-000039,CUST-BD-00787,Kamrul Paul,45,Male,Moderate-Spender,Regular,Rajshahi,Natore,2024-01-10,2024,1,January,Q1,2,Wednesday,Winter Season,Retail,General Store,SME,26,29224085.66,Lentils (kg),1,277.94,277.94,21.77,60.51,217.43,9.48,20.61,Cash,Online Website,10,On-Time,No,,18,335,52939.99,SMS Marketing,New Customer Offer,Medium,4.6
TXN-BD-000040,CUST-BD-00866,Jamal Roy,30,Male,Moderate-Spender,Loyal,Chittagong,Comilla,2023-03-27,2023,3,March,Q1,13,Monday,Pohela Boishakh Period,Agriculture,Fertilizer Dealer,SME,19,21472776.84,Pesticide,1,35741.43,35741.43,11.0,3931.56,31809.87,18.79,5977.07,Visa Card,Online Website,6,On-Time,No,,23,204,20764.28,Word of Mouth,Eid Festival Sale,Out-of-Stock,4.3
TXN-BD-000041,CUST-BD-04000,Rafi Majumder,39,Male,High-Value,New,Sylhet,Sunamganj,2022-01-30,2022,1,January,Q1,4,Sunday,Winter Season,Banking & Finance,Bank,Startup,6,12452259.08,FDR,4,466037.94,1864151.76,7.16,133473.27,1730678.49,21.52,372442.01,Cash,In-Store,0,In-Store Pickup,No,,18,315,246294.78,Email,,Out-of-Stock,2.5
TXN-BD-000042,CUST-BD-04390,Laboni Sheikh,42,Female,VIP-Platinum,Loyal,Khulna,Bagerhat,2022-07-04,2022,7,July,Q3,27,Monday,Rainy Season,Retail,Departmental Store,Large Enterprise,3893,11770245679.39,Stationery,5,2092.8,10464.0,29.08,3042.93,7421.07,6.45,478.66,Cash,In-Store,0,In-Store Pickup,Yes,Changed Mind,22,124,518304.32,SMS Marketing,Pohela Boishakh Sale,High,1.6
TXN-BD-000043,CUST-BD-02566,Rifat Paul,30,Male,Low-Engagement,Regular,Sylhet,Sylhet,2024-12-28,2024,12,December,Q4,52,Saturday,Year-End & Winter Sale,Education,University,Startup,2,760521.88,Course Material,10,19416.14,194161.4,14.29,27745.66,166415.74,20.05,33366.36,Nagad,Mobile App,10,On-Time,Yes,Quality Not As Expected,13,191,14557.07,Email,Referral Bonus,Low,1.5
TXN-BD-000044,CUST-BD-04543,Anwar Nath,18,Male,Moderate-Spender,Regular,Rangpur,Dinajpur,2024-07-01,2024,7,July,Q3,27,Monday,Rainy Season,Education,Vocational Training,SME,34,33190260.42,Monthly Tuition,6,37671.14,226026.84,3.33,7526.69,218500.15,36.45,79643.3,Cash,Mobile App,9,On-Time,No,,10,3,37459.8,SMS Marketing,Referral Bonus,Medium,5.0
TXN-BD-000045,CUST-BD-04022,Liton Banik,18,Male,Low-Engagement,Regular,Sylhet,Sylhet,2024-11-05,2024,11,November,Q4,45,Tuesday,Year-End & Winter Sale,Education,Coaching Center,SME,12,11250202.94,Exam Fee,2,43219.01,86438.02,9.64,8332.63,78105.39,51.6,40302.38,bKash,In-Store,0,In-Store Pickup,No,,20,167,3232.03,Social Media,Eid Festival Sale,High,2.8
TXN-BD-000046,CUST-BD-02956,Farhan Sheikh,55,Male,Moderate-Spender,Regular,Dhaka,Narayanganj,2021-01-06,2021,1,January,Q1,1,Wednesday,Winter Season,Telecom,Device Reseller,SME,19,55380733.42,Voice Bundle,2,4111.82,8223.64,12.95,1064.96,7158.68,47.46,3397.51,Cash,In-Store,0,In-Store Pickup,No,,1,177,31241.86,Referral,,Medium,3.4
TXN-BD-000047,CUST-BD-00720,Imran Ahmed,34,Male,High-Value,New,Rangpur,Dinajpur,2021-01-28,2021,1,January,Q1,4,Thursday,Winter Season,Agriculture,Seed Company,SME,44,53722354.0,Hybrid Rice Seeds,1,46238.86,46238.86,13.97,6459.57,39779.29,9.11,3623.89,Cash,In-Store,0,In-Store Pickup,No,,21,141,184491.66,Social Media,Flash Sale,High,4.4
TXN-BD-000048,CUST-BD-01192,Rahela Ghosh,18,Female,VIP-Platinum,Regular,Mymensingh,Mymensingh,2023-02-05,2023,2,February,Q1,5,Sunday,Winter Season,E-Commerce,B2C Platform,SME,18,32117642.44,Home Decor,1,25590.81,25590.81,21.48,5496.91,20093.9,17.72,3560.64,DBBL Nexus,In-Store,0,In-Store Pickup,No,,5,346,701075.11,TV Advertisement,New Customer Offer,High,4.4
TXN-BD-000049,CUST-BD-00372,Anika Khan,40,Female,Low-Engagement,New,Rajshahi,Bogura,2023-01-28,2023,1,January,Q1,4,Saturday,Winter Season,Fashion & Apparel,Garments,Startup,14,12783726.69,Formal Shirt,1,6085.66,6085.66,2.97,180.74,5904.92,44.88,2650.13,MasterCard,In-Store,0,In-Store Pickup,No,,2,36,6224.65,TV Advertisement,Eid Festival Sale,High,3.1
TXN-BD-000050,CUST-BD-03503,Hussain Molla,35,Male,Moderate-Spender,New,Dhaka,Dhaka,2024-03-08,2024,3,March,Q1,10,Friday,Pohela Boishakh Period,Food & Beverage,Catering Service,MNC,19459,80695212060.91,Cake,2,775.68,1551.36,17.95,278.47,1272.89,17.52,223.01,bKash,Mobile App,5,On-Time,No,,16,61,43541.72,Referral,Eid Festival Sale,Medium,4.1
TXN-BD-000051,CUST-BD-00884,Hasan Akter,47,Male,High-Value,Loyal,Sylhet,Sunamganj,2023-01-24,2023,1,January,Q1,4,Tuesday,Winter Season,Retail,Departmental Store,Startup,12,10622292.81,Flour (kg),2,1708.97,3417.94,20.43,698.29,2719.65,9.95,270.61,MasterCard,Facebook/Social Media,3,Returned,Yes,Size Issue,5,108,239845.65,Social Media,Flash Sale,High,1.6
TXN-BD-000052,CUST-BD-00222,Muntasir Chowdhury,18,Male,Moderate-Spender,Regular,Rangpur,Lalmonirhat,2022-05-08,2022,5,May,Q2,18,Sunday,Regular Season,Transportation,Courier Service,SME,11,20579825.68,Subscription Plan,4,77.63,310.52,18.42,57.2,253.32,13.07,33.11,Cash,In-Store,0,In-Store Pickup,No,,20,220,41524.81,Word of Mouth,Loyalty Reward,Low,4.4
TXN-BD-000053,CUST-BD-04148,Siam Banik,33,Male,Moderate-Spender,Churned-Risk,Rangpur,Lalmonirhat,2023-11-21,2023,11,November,Q4,47,Tuesday,Year-End & Winter Sale,Electronics,Electronics Accessories,Large Enterprise,1351,2636614000.46,Tablet,1,69231.04,69231.04,23.9,16546.22,52684.82,8.04,4235.86,bKash,Online Website,7,On-Time,No,,4,104,72555.53,Email,Loyalty Reward,Medium,4.9
TXN-BD-000054,CUST-BD-03824,Puja Sikder,37,Female,Low-Engagement,Regular,Dhaka,Narayanganj,2022-01-24,2022,1,January,Q1,4,Monday,Winter Season,Transportation,Freight,SME,6,9411842.33,Freight Booking,2,2981.3,5962.6,10.47,624.28,5338.32,28.44,1518.22,Cash,In-Store,0,In-Store Pickup,No,,7,97,11281.71,Referral,Eid Festival Sale,Low,3.3
TXN-BD-000055,CUST-BD-04703,Popy Biswas,42,Female,Low-Engagement,Churned-Risk,Barisal,Pirojpur,2023-04-07,2023,4,April,Q2,14,Friday,Eid-ul-Fitr Season,Telecom,ISP,Large Enterprise,4240,17060327524.97,SIM Card,1,4476.19,4476.19,0.28,12.53,4463.66,44.38,1980.97,Nexus Card,Phone Order,8,On-Time,No,,8,160,12337.33,Word of Mouth,Eid Festival Sale,High,4.4
TXN-BD-000056,CUST-BD-03684,Karim Bhuiyan,49,Male,High-Value,Churned-Risk,Dhaka,Dhaka,2021-12-01,2021,12,December,Q4,48,Wednesday,Year-End & Winter Sale,Healthcare,Clinic,SME,29,36897009.67,Paracetamol,1,37528.95,37528.95,8.92,3347.58,34181.37,20.71,7078.96,Rocket,Mobile App,7,Returned,Yes,Changed Mind,4,272,354328.51,Social Media,Loyalty Reward,High,2.1
TXN-BD-000057,CUST-BD-04348,Puja Hossain,18,Female,Moderate-Spender,Regular,Barisal,Barisal,2022-03-11,2022,3,March,Q1,10,Friday,Pohela Boishakh Period,Electronics,Mobile Shop,Large Enterprise,4573,11884288030.44,Power Bank,1,119981.36,119981.36,14.67,17601.27,102380.09,5.67,5804.95,Visa Card,Agent/Reseller,14,Cancelled,No,,24,194,44150.14,Social Media,Year-End Clearance,Low,3.1
TXN-BD-000058,CUST-BD-04132,Rahela Begum,35,Female,VIP-Platinum,Regular,Rajshahi,Pabna,2024-11-18,2024,11,November,Q4,47,Monday,Year-End & Winter Sale,Telecom,ISP,MNC,13177,96934661554.07,SIM Card,3,1164.74,3494.22,22.67,792.14,2702.08,35.56,960.86,Upay,In-Store,0,In-Store Pickup,No,,21,114,630155.89,Word of Mouth,Seasonal Discount,Medium,3.9
TXN-BD-000059,CUST-BD-02740,Nusrat Molla,45,Female,Low-Engagement,New,Rajshahi,Pabna,2024-08-04,2024,8,August,Q3,31,Sunday,Eid-ul-Adha Season,Retail,Departmental Store,Large Enterprise,170,717174099.6,Sugar (kg),14,1939.35,27150.9,16.82,4566.78,22584.12,8.27,1867.71,Cash,Mobile App,13,On-Time,No,,6,164,10324.3,SMS Marketing,Seasonal Discount,Low,4.0
TXN-BD-000060,CUST-BD-01369,Tasnim Sarkar,29,Female,Low-Engagement,Regular,Rangpur,Lalmonirhat,2023-09-24,2023,9,September,Q3,38,Sunday,Post-Eid Regular,IT Services,Software Company,Social Enterprise,40,35451306.97,Cloud Hosting,1,86555.46,86555.46,2.39,2068.68,84486.78,46.73,39480.67,bKash,WhatsApp Order,4,On-Time,No,,4,57,7785.43,,Year-End Clearance,High,3.8
TXN-BD-000061,CUST-BD-04325,Nadia Sikder,25,Female,Moderate-Spender,Loyal,Mymensingh,Jamalpur,2023-10-15,2023,10,October,Q4,41,Sunday,Regular Season,IT Services,Freelancing Agency,SME,7,17682832.22,Cloud Hosting,2,176944.84,353889.68,2.32,8210.24,345679.44,61.87,213871.87,Nagad,Mobile App,6,On-Time,Yes,Product Defective,9,198,42761.38,SMS Marketing,Eid Festival Sale,Medium,1.8
TXN-BD-000062,CUST-BD-02815,Hasan Akter,56,Male,High-Value,Loyal,Khulna,Bagerhat,2021-10-12,2021,10,October,Q4,41,Tuesday,Regular Season,E-Commerce,Social Commerce,Large Enterprise,4286,6540086480.27,Toys,1,14632.48,14632.48,12.52,1831.99,12800.49,12.47,1596.22,Nagad,Online Website,7,On-Time,No,,23,216,95643.17,TV Advertisement,Seasonal Discount,Out-of-Stock,3.7
